movie,title,genreName,grossNum,grossUnit,duration,pubDate
http://www.wikidata.org/entity/Q1049545,Clash of the Titans,fantasy; action,70000000.0,http://www.wikidata.org/entity/Q4917,120.0,1981-06-12T00:00:00Z
http://www.wikidata.org/entity/Q192979,Clash of the Titans,action; fantasy,493200000.0,http://www.wikidata.org/entity/Q4917,102.0,2010-03-26T00:00:00Z
http://www.wikidata.org/entity/Q1392442,Clear and Present Danger,action,215887717.0,http://www.wikidata.org/entity/Q4917,141.0,1994-08-03T00:00:00Z
http://www.wikidata.org/entity/Q496654,Click,fantasy; sci-fi; илмӣ-тахаюллӣ,237700000.0,http://www.wikidata.org/entity/Q4917,107.0,2006-06-22T00:00:00Z
http://www.wikidata.org/entity/Q824389,Cliffhanger,action,255000211.0,http://www.wikidata.org/entity/Q4917,113.0,1993-05-28T00:00:00Z
http://www.wikidata.org/entity/Q320588,Close Encounters of the Third Kind,sci-fi; илмӣ-тахаюллӣ,306889114.0,http://www.wikidata.org/entity/Q4917,134.0,1977-11-16T00:00:00Z
http://www.wikidata.org/entity/Q17150929,Coherence,sci-fi; илмӣ-тахаюллӣ,139745.0,http://www.wikidata.org/entity/Q4917,87.0,2013-09-19T00:00:00Z
http://www.wikidata.org/entity/Q110203,Collateral,action,217800000.0,http://www.wikidata.org/entity/Q4917,120.0,2004-08-05T00:00:00Z
http://www.wikidata.org/entity/Q498383,Coma,илмӣ-тахаюллӣ; Horror; горор; sci-fi,50000000.0,http://www.wikidata.org/entity/Q4917,113.0,1978-01-06T00:00:00Z
http://www.wikidata.org/entity/Q56063352,Come Away,fantasy,1692494.0,http://www.wikidata.org/entity/Q4917,94.0,2020-01-24T00:00:00Z
http://www.wikidata.org/entity/Q607910,Con Air,action,224000000.0,http://www.wikidata.org/entity/Q4917,115.0,1997-06-06T00:00:00Z
http://www.wikidata.org/entity/Q309003,Conan the Barbarian,fantasy; action,68851475.0,http://www.wikidata.org/entity/Q4917,126.0,1982-04-02T00:00:00Z
http://www.wikidata.org/entity/Q219150,Constantine,fantasy; Horror; горор,230884728.0,http://www.wikidata.org/entity/Q4917,116.0,2005-02-17T00:00:00Z
