,movie,title,genreName,grossNum,adjustedGross,grossUnit,duration,pubDate,pubMonth,pubYear
589,http://www.wikidata.org/entity/Q164963,The Lord of the Rings: The Two Towers,fantasy; action,936689735.0,1593102639.3432004,http://www.wikidata.org/entity/Q4917,179.0,2002-12-05T00:00:00Z,12,2002
590,http://www.wikidata.org/entity/Q200873,The Lost World: Jurassic Park,sci-fi; илмӣ-тахаюллӣ; action,618638999.0,1188864956.035784,http://www.wikidata.org/entity/Q4917,129.0,1997-05-23T00:00:00Z,5,1997
591,http://www.wikidata.org/entity/Q24496982,The Love Witch,Horror; горор,281063.0,365002.5083700552,http://www.wikidata.org/entity/Q4917,120.0,2016-01-31T00:00:00Z,1,2016
592,http://www.wikidata.org/entity/Q14488725,The Man from U.N.C.L.E.,heist; action,107045109.0,138197501.34753436,http://www.wikidata.org/entity/Q4917,116.0,2015-08-02T00:00:00Z,8,2015
593,http://www.wikidata.org/entity/Q309289,The Man with the Golden Gun,action,97600000.0,578587468.2080925,http://www.wikidata.org/entity/Q4917,125.0,1974-12-19T00:00:00Z,12,1974
594,http://www.wikidata.org/entity/Q18547944,The Martian,action; sci-fi; илмӣ-тахаюллӣ,630161890.0,815187391.66235,http://www.wikidata.org/entity/Q4917,141.0,2015-10-01T00:00:00Z,10,2015
595,http://www.wikidata.org/entity/Q219421,The Mask,fantasy,351600000.0,728956358.4905659,http://www.wikidata.org/entity/Q4917,97.0,1994-07-29T00:00:00Z,7,1994
596,http://www.wikidata.org/entity/Q83495,The Matrix,action; sci-fi; илмӣ-тахаюллӣ,467222728.0,871217478.4635637,http://www.wikidata.org/entity/Q4917,136.0,1999-03-31T00:00:00Z,3,1999
597,http://www.wikidata.org/entity/Q189600,The Matrix Reloaded,action; sci-fi; илмӣ-тахаюллӣ,739412035.0,1239758257.3323433,http://www.wikidata.org/entity/Q4917,138.0,2003-05-15T00:00:00Z,5,2003
598,http://www.wikidata.org/entity/Q13099455,The Maze Runner,action; fantasy,348319861.0,450226734.97876745,http://www.wikidata.org/entity/Q4917,113.0,2014-09-18T00:00:00Z,9,2014
599,http://www.wikidata.org/entity/Q27957869,The Meg,action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,530243742.0,647008567.8332474,http://www.wikidata.org/entity/Q4917,113.0,2018-08-09T00:00:00Z,8,2018
600,http://www.wikidata.org/entity/Q30114954,The Mimic,Horror; горор,9362702.0,11732826.734558223,http://www.wikidata.org/entity/Q4917,100.0,2017-08-17T00:00:00Z,8,2017
601,http://www.wikidata.org/entity/Q695209,The Mist,Horror; горор; sci-fi; илмӣ-тахаюллӣ,57470220.0,84128710.83715154,http://www.wikidata.org/entity/Q4917,126.0,2007-11-21T00:00:00Z,11,2007
602,http://www.wikidata.org/entity/Q23759268,The Mummy,fantasy; action; Horror; горор,409231607.0,514007461.60436404,http://www.wikidata.org/entity/Q4917,107.0,2017-06-08T00:00:00Z,6,2017
603,http://www.wikidata.org/entity/Q320461,The Mummy Returns,fantasy; action; Horror; горор,433013274.0,753112645.702962,http://www.wikidata.org/entity/Q4917,129.0,2001-04-29T00:00:00Z,4,2001
604,http://www.wikidata.org/entity/Q155018,The Name of the Rose,Horror; горор,77200000.0,215537215.97096187,http://www.wikidata.org/entity/Q4917,126.0,1986-09-24T00:00:00Z,9,1986
605,http://www.wikidata.org/entity/Q28912376,The New Mutants,action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,49169594.0,58203195.45231188,http://www.wikidata.org/entity/Q4917,94.0,2020-08-27T00:00:00Z,8,2020
606,http://www.wikidata.org/entity/Q322328,The Nightmare Before Christmas,fantasy,91221845.0,192630859.80092657,http://www.wikidata.org/entity/Q4917,73.0,1993-10-13T00:00:00Z,10,1993
607,http://www.wikidata.org/entity/Q29841731,The Nun,Horror; горор,365600000.0,445590885.71892613,http://www.wikidata.org/entity/Q4917,96.0,2018-09-06T00:00:00Z,9,2018
608,http://www.wikidata.org/entity/Q862197,The Polar Express,fantasy,311365072.0,501822960.01734936,http://www.wikidata.org/entity/Q4917,96.0,2004-10-21T00:00:00Z,10,2004
