"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 años de esclavitud",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave (film)",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","Twelve Years a Slave",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 anni schiavo",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","노예 12년",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","それでも夜は明ける",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","Zniewolony (film 2013)",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 лет рабства",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","为奴十二年",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 років рабства (фільм)",,"1.877E8",206470000
"http://dbpedia.org/resource/13_Hours_by_Air","13 ساعة بالطائرة",,,0
"http://dbpedia.org/resource/13_Hours_by_Air","13 Hours by Air",,,0
"http://dbpedia.org/resource/13_Hours_by_Air","Treize Heures dans l'air",,,0
"http://dbpedia.org/resource/13_Hours_by_Air","13 Hours by Air",,,0
"http://dbpedia.org/resource/13_Hours_by_Air","Volo nella bufera",,,0
"http://dbpedia.org/resource/13_Hours_by_Air","13 Hours by Air",,,0
"http://dbpedia.org/resource/13_Lakes","13 بحيرة",,,0
"http://dbpedia.org/resource/13_Lakes","13 Lakes",,,0
"http://dbpedia.org/resource/13_Lakes","13 Lakes",,,0
"http://dbpedia.org/resource/13_Lakes","13 Lakes",,,0
"http://dbpedia.org/resource/13_Lead_Soldiers","13 Lead Soldiers",,"400000.0",440000
"http://dbpedia.org/resource/13_Rue_Madeleine","13 Rue Madeleine",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Rue_Madeleine","13 Rue Madeleine",,"2750000.0",3025000
"http://dbpedia.org/resource/13_Rue_Madeleine","Il 13 non risponde",,"2750000.0",3025000
